county,state,year,days_under0,dewPoint,precipAccumulation,precip,days_under_n10,days_over42,days_over32,humidity,temp_delta,temperatureMin,apparentTemperatureMin,precipIntensity
nez perce,ID,2010,0,41.8975409836,0.0,116,0,183,183,0.56912568306,24.0845355191,48.3892896175,46.7994535519,0.00203333333333
nez perce,ID,2011,0,40.494673913,0.0,119,0,183,184,0.553043478261,24.7257065217,47.4648369565,45.8604347826,0.00185815217391
nez perce,ID,2012,0,38.11,0.0,0,0,1,1,0.49,28.7,46.0,45.18,0.0
nez perce,ID,2013,0,42.5507103825,0.0,93,0,183,183,0.533224043716,23.4972131148,50.4810382514,49.4034972678,0.00164863387978
nez perce,ID,2014,0,42.49,0.0,1,0,1,1,0.65,12.74,47.6,46.58,0.0081
niobrara,WY,2013,0,44.3919125683,30.06,136,0,170,177,0.592677595628,23.5600546448,49.0172131148,46.8963934426,0.00266830601093
oneida,ID,2010,0,37.2215846995,0.566,100,0,180,183,0.479398907104,26.6989617486,47.32,44.876557377,0.0011956284153
oneida,ID,2011,0,39.5981521739,0.73,108,0,182,184,0.514510869565,25.1895652174,48.1927173913,45.9779891304,0.00149293478261
oneida,ID,2013,0,38.653989071,0.175,82,0,181,183,0.446994535519,24.1054098361,51.0487431694,49.3283060109,0.0010306010929
otero,CO,2010,0,43.8937704918,0.0,103,0,183,183,0.489726775956,30.3736065574,52.786557377,51.3881967213,0.00222950819672
otero,CO,2011,0,40.2478142077,0.0,101,0,183,183,0.432349726776,31.8495081967,52.3816393443,50.6968852459,0.0013781420765
otero,CO,2013,0,41.7491256831,3.963,95,0,177,182,0.47174863388,28.0495628415,52.8128961749,51.0387978142,0.00160710382514
ouray,CO,2010,0,33.009726776,5.945,91,0,179,183,0.447650273224,24.2702185792,45.9802185792,44.1156284153,0.0016
ouray,CO,2011,0,32.4528415301,0.928,107,0,180,183,0.452240437158,24.2201092896,45.4658469945,43.6396174863,0.00173224043716
ouray,CO,2013,0,34.4169398907,3.404,110,0,179,182,0.454316939891,22.6226229508,47.9464480874,46.5638251366,0.00166830601093
owyhee,ID,2010,0,36.7394535519,0.0,87,0,183,183,0.455409836066,28.0498360656,48.0807103825,46.2301639344,0.00097650273224
owyhee,ID,2011,0,38.0242076503,0.0,83,0,183,183,0.465901639344,28.2887978142,48.4018032787,46.5527868852,0.00101366120219
owyhee,ID,2013,0,37.8034972678,0.0,75,0,183,183,0.406721311475,26.2143169399,52.1224043716,50.8043169399,0.0011174863388
park,CO,2010,0,31.1507103825,13.925,120,0,173,182,0.494699453552,23.4739344262,41.5826775956,38.140273224,0.00255737704918
park,CO,2011,0,30.9575956284,10.744,125,0,174,182,0.493442622951,23.9406010929,41.2200546448,37.5094535519,0.00230054644809
park,CO,2013,0,31.2736065574,8.97,135,0,172,179,0.493224043716,21.975136612,41.8423497268,38.4571584699,0.00235409836066
park,MT,2013,0,39.2723497268,2.004,120,0,173,177,0.559453551913,25.423989071,43.8391256831,41.2644808743,0.00188579234973
park,WY,2013,0,37.8509782609,2.693,114,0,172,180,0.541413043478,24.0090217391,44.0689130435,42.1340217391,0.00133967391304
payette,ID,2010,0,38.5371978022,0.0,99,0,181,182,0.500384615385,28.2763736264,46.7880769231,44.9725824176,0.00144230769231
payette,ID,2011,0,38.78375,0.0,88,0,184,184,0.493586956522,28.5716847826,47.1646195652,45.1908152174,0.00126086956522
